baseline,metric,scope,family,n,wins,ties,losses,mean_delta,median_delta,ci_lo,ci_hi,ci_excludes_zero
serialRank,upset_naive,per_family,Animal,1,1,0,0,-0.4691823899745942,-0.4691823899745942,-0.4691823899745942,-0.4691823899745942,True
serialRank,upset_naive,per_family,Basketball_coarse,30,30,0,0,-0.3332699302832286,-0.3323528468608857,-0.3391815541535616,-0.32792230844249326,True
serialRank,upset_naive,per_family,Basketball_finer,30,30,0,0,-0.19267325808604557,-0.1924483776092529,-0.19872025591383377,-0.1867973173086842,True
serialRank,upset_naive,per_family,Faculty,3,3,0,0,-0.39774177844325703,-0.4811461806297303,-0.5039090387523174,-0.2081701159477234,True
serialRank,upset_naive,per_family,Football_coarse,6,6,0,0,-0.09232660631338756,-0.10194484889507294,-0.13619520515203476,-0.05072666617731255,True
serialRank,upset_naive,per_family,Football_finer,6,4,0,2,-0.035634979605674744,-0.018218778073787703,-0.07414014761646588,0.00014612823724747168,False
serialRank,upset_naive,per_family,Halo,1,1,0,0,-0.3195785105228424,-0.3195785105228424,-0.3195785105228424,-0.3195785105228424,True
serialRank,upset_ratio,per_dataset_all,ALL,77,47,0,30,-0.1120626853367725,-0.2009093999862671,-0.15682222941476104,-0.06444632832601963,True
serialRank,upset_ratio,per_family,Animal,1,1,0,0,-0.47751340270042425,-0.47751340270042425,-0.47751340270042425,-0.47751340270042425,True
serialRank,upset_ratio,per_family,Basketball_coarse,30,30,0,0,-0.2961677384376526,-0.2945834547281265,-0.29986794557670754,-0.2924811954746643,True
serialRank,upset_ratio,per_family,Basketball_finer,30,0,0,30,0.12644607089459897,0.12724756412208083,0.12420696110410306,0.12856263015256264,True
serialRank,upset_ratio,per_family,Faculty,3,3,0,0,-0.4702374537785848,-0.4874510169029237,-0.49092042446136475,-0.43234091997146606,True
serialRank,upset_ratio,per_family,Football_coarse,6,6,0,0,-0.19533950388431545,-0.2106857717037201,-0.22298492193222044,-0.16698763370513917,True
